BGIBMGA008184	XP_012543771.1
BGIBMGA002774	XP_004921646.1
BGIBMGA009406	XP_004923068.1
BGIBMGA009675	XP_012551913.1
BGIBMGA003050	XP_012550025.1
BGIBMGA013047	XP_012548082.1
BGIBMGA013042	XP_004928949.1
BGIBMGA006751	XP_012549376.1
BGIBMGA000274	NP_001166672.1
BGIBMGA002703	NP_001140192.1
BGIBMGA004343	NP_001136228.1
BGIBMGA013440	XP_012546193.1
BGIBMGA001683	XP_012548036.1
BGIBMGA010664	XP_004925546.1
BGIBMGA007021	XP_004932502.1
BGIBMGA008213	NP_001166779.1
BGIBMGA009882	XP_004923651.1
BGIBMGA000446	XP_004931970.1
BGIBMGA010856	XP_012544254.1
BGIBMGA003967	XP_012550181.1
BGIBMGA000527	XP_012549079.1
BGIBMGA004117	XP_012549180.1
BGIBMGA012118	XP_012551544.1
BGIBMGA003408	XP_004923017.1
BGIBMGA001578	XP_004929716.1
BGIBMGA006513	NP_001269148.1
BGIBMGA005084	XP_004921790.2
BGIBMGA007935	NP_001040376.1
BGIBMGA007166	NP_001127745.1
BGIBMGA014481	XP_012552390.1
BGIBMGA012181	XP_004925106.1
BGIBMGA003181	XP_012550053.1
BGIBMGA000703	XP_004929891.1
BGIBMGA002292	XP_004922069.1
BGIBMGA006645	XP_004930354.1
BGIBMGA013930	NP_001037201.1
BGIBMGA000675	XP_004929967.1
BGIBMGA010044	XP_004923275.1
BGIBMGA005792	XP_004923869.1
BGIBMGA006057	XP_004929152.1
BGIBMGA008286	XP_012547448.1
BGIBMGA003889	XP_004924934.1
BGIBMGA007002	XP_012551225.1
BGIBMGA008449	XP_012547661.1
BGIBMGA012336	NP_001095933.1
BGIBMGA002258	XP_012546774.1
BGIBMGA000646	XP_004929824.1
BGIBMGA000627	NP_001108475.1
BGIBMGA003160	NP_001171332.1
BGIBMGA001374	XP_004926776.1
BGIBMGA005184	XP_012546342.1
BGIBMGA013145	XP_012546427.1
BGIBMGA003891	XP_012544788.1
BGIBMGA000949	XP_012547153.1
BGIBMGA008971	XP_004931839.2
BGIBMGA001324	NP_001036949.1
BGIBMGA007132	XP_004932575.1
BGIBMGA001457	XP_012548772.1
BGIBMGA007889	NP_001040433.1
BGIBMGA009450	XP_012552617.1
BGIBMGA008238	XP_004926833.1
BGIBMGA003534	NP_001136085.1
BGIBMGA001500	XP_012548760.1
BGIBMGA001248	XP_004927928.1
BGIBMGA008685	XP_012545535.1
BGIBMGA010469	XP_012548580.1
BGIBMGA011980	XP_004924182.1
BGIBMGA009202	XP_004927498.1
BGIBMGA008847	XP_004931814.2
BGIBMGA002759	XP_004927226.1
BGIBMGA002151	XP_012551421.1
BGIBMGA000768	XP_012545479.1
BGIBMGA000769	XP_004925713.1
BGIBMGA005429	XP_012550885.1
BGIBMGA002527	XP_004931196.1
BGIBMGA003822	XP_004926499.1
BGIBMGA004656	XP_012546592.1
BGIBMGA008864	XP_004931801.1
BGIBMGA007527	XP_004924652.1
BGIBMGA004804	XP_004923379.1
BGIBMGA012942	XP_004928852.1
BGIBMGA012534	XP_004925213.1
BGIBMGA006891	XP_012544714.1
BGIBMGA002474	NP_001036981.1
BGIBMGA010443	XP_012548560.1
BGIBMGA000909	XP_004928074.2
BGIBMGA014533	XP_012552305.1
BGIBMGA006183	XP_012548316.1
BGIBMGA006579	XP_012549401.1
BGIBMGA013391	NP_001103623.1
BGIBMGA002182	XP_012544355.1
BGIBMGA004871	XP_004923429.1
BGIBMGA013898	NP_001040146.1
BGIBMGA012555	NP_001041705.1
BGIBMGA001163	XP_012547435.1
BGIBMGA009071	XP_012544314.1
BGIBMGA013226	XP_012552381.1
BGIBMGA007063	XP_012551243.1
BGIBMGA005448	NP_001036938.1
BGIBMGA000180	XP_004927312.1
BGIBMGA004194	XP_004924240.1
BGIBMGA009925	XP_012553437.1
BGIBMGA010369	XP_012548575.1
BGIBMGA011215	XP_004930764.1
BGIBMGA010630	XP_004925585.1
BGIBMGA007109	XP_004932552.1
BGIBMGA002665	XP_012551183.1
BGIBMGA000752	XP_004925742.1
BGIBMGA011504	NP_001040526.1
BGIBMGA004973	XP_012544409.1
BGIBMGA005138	XP_004921822.1
BGIBMGA006884	XP_004924872.2
BGIBMGA013327	NP_001182009.1
BGIBMGA005386	XP_004932079.2
BGIBMGA011107	XP_012545668.1
BGIBMGA013734	XP_012547088.1
BGIBMGA012948	XP_004928858.1
BGIBMGA011315	XP_004930693.1
BGIBMGA009002	XP_012550563.1
BGIBMGA007824	XP_004928539.1
BGIBMGA008188	XP_012543778.1
BGIBMGA000353	NP_001159614.1
BGIBMGA002489	XP_004931146.1
BGIBMGA012306	XP_004933130.1
BGIBMGA006263	XP_004923560.1
BGIBMGA010578	XP_004929507.1
BGIBMGA014120	XP_004925166.1
BGIBMGA001564	XP_012548782.1
BGIBMGA001290	NP_001243915.1
BGIBMGA001958	XP_004933448.1
BGIBMGA010615	XP_012545302.1
BGIBMGA012136	XP_004932967.1
BGIBMGA013011	XP_004928927.1
BGIBMGA013109	XP_004927631.1
BGIBMGA003332	XP_004923028.1
BGIBMGA010376	NP_001108406.1
BGIBMGA014185	XP_004926157.1
BGIBMGA004599	XP_012553213.1
BGIBMGA014192	XP_012545796.1
BGIBMGA010310	XP_012546478.1
BGIBMGA010038	XP_012553073.1
BGIBMGA009215	XP_012551574.1
BGIBMGA003173	XP_004930966.1
BGIBMGA002443	XP_004931113.1
BGIBMGA000987	NP_001166866.1
BGIBMGA001279	NP_001040452.1
BGIBMGA012072	XP_004932903.1
BGIBMGA010254	XP_004931414.1
BGIBMGA002817	XP_004921591.2
BGIBMGA011596	XP_004927568.1
BGIBMGA007517	XP_004924656.1
BGIBMGA006173	NP_001040406.1
BGIBMGA006773	XP_012549471.1
BGIBMGA014403	XP_004927561.1
BGIBMGA003841	XP_012546078.1
BGIBMGA009944	XP_012546618.1
BGIBMGA001968	XP_004933456.2
BGIBMGA012777	XP_004928997.1
BGIBMGA005171	XP_012544495.1
BGIBMGA008201	XP_004923757.1
BGIBMGA003777	XP_012545538.1
BGIBMGA008129	XP_004923785.2
BGIBMGA000873	XP_012547179.1
BGIBMGA009781	XP_004933307.1
BGIBMGA006476	XP_004930566.1
BGIBMGA009221	XP_004922669.2
BGIBMGA000123	XP_004923118.1
BGIBMGA011939	XP_004924157.1
BGIBMGA011192	XP_004930774.2
BGIBMGA014579	XP_004934163.1
BGIBMGA003929	XP_012552212.1
BGIBMGA000870	XP_012547422.1
BGIBMGA013688	XP_012546838.1
BGIBMGA004244	XP_012546762.1
BGIBMGA010498	XP_004929404.1
BGIBMGA006208	XP_004929274.1
BGIBMGA014067	XP_004933620.2
BGIBMGA005756	XP_012543877.1
BGIBMGA000449	XP_004931975.1
BGIBMGA010340	XP_012546131.1
BGIBMGA000198	XP_012546861.1
BGIBMGA012372	XP_012552687.1
BGIBMGA012697	XP_004924790.1
BGIBMGA007057	XP_012548373.1
BGIBMGA011161	NP_001106735.1
BGIBMGA006998	XP_004932544.1
BGIBMGA008373	XP_004928201.1
BGIBMGA012481	XP_012544034.1
BGIBMGA005262	XP_012544109.1
BGIBMGA001232	NP_001040275.1
BGIBMGA000475	NP_001037075.1
BGIBMGA003261	XP_012544870.1
BGIBMGA011087	XP_004921744.1
BGIBMGA013989	XP_012552147.1
BGIBMGA005377	XP_004932094.1
BGIBMGA000905	XP_012547157.1
BGIBMGA004019	XP_004922404.1
BGIBMGA007671	XP_012547941.1
BGIBMGA010405	XP_004929467.1
BGIBMGA008659	XP_012552405.1
BGIBMGA013048	XP_004928951.1
BGIBMGA003893	XP_012544829.1
BGIBMGA010758	XP_012551700.1
BGIBMGA002211	NP_001037546.1
BGIBMGA004904	XP_012544384.1
BGIBMGA000581	NP_001268823.1
BGIBMGA002047	XP_004932855.1
BGIBMGA010547	XP_004929574.1
BGIBMGA007003	XP_004932538.1
BGIBMGA014174	XP_012545809.1
BGIBMGA009620	XP_012545951.1
BGIBMGA001274	XP_004927965.1
BGIBMGA001856	XP_004933502.1
BGIBMGA004226	XP_012546775.1
BGIBMGA007059	XP_012551207.1
BGIBMGA002210	XP_004926857.1
BGIBMGA013119	XP_004926893.1
BGIBMGA001061	XP_004927746.1
BGIBMGA001393	XP_004923044.1
BGIBMGA008544	XP_004928336.1
BGIBMGA006630	XP_004930375.1
BGIBMGA004238	XP_012546767.1
BGIBMGA006241	XP_012545411.1
BGIBMGA003324	XP_004923034.1
BGIBMGA008052	XP_004922901.1
BGIBMGA003036	XP_012550066.1
BGIBMGA005097	XP_004921884.2
BGIBMGA012409	XP_004925653.1
BGIBMGA005954	XP_004929250.1
BGIBMGA005335	XP_012550864.1
BGIBMGA010594	XP_004927220.1
BGIBMGA006771	XP_004930446.1
BGIBMGA008509	XP_004928423.1
BGIBMGA010042	XP_012553066.1
BGIBMGA013614	XP_004925257.1
BGIBMGA013493	NP_001040265.1
BGIBMGA009806	XP_004933333.1
BGIBMGA010579	XP_012548729.1
BGIBMGA002604	XP_004932371.1
BGIBMGA014232	XP_012545185.1
BGIBMGA009074	XP_004924396.1
BGIBMGA006965	XP_004929656.1
BGIBMGA004907	XP_012544436.1
BGIBMGA008476	XP_004928400.1
BGIBMGA011010	XP_004921754.1
BGIBMGA012270	XP_012551788.1
BGIBMGA013383	XP_004923627.1
BGIBMGA002894	XP_004921603.1
BGIBMGA011479	XP_004932648.1
BGIBMGA009295	XP_012551567.1
BGIBMGA005673	XP_004922003.1
BGIBMGA001645	XP_004922250.1
BGIBMGA013705	XP_004926374.1
BGIBMGA003940	XP_004926411.1
BGIBMGA003606	XP_012549136.1
BGIBMGA003749	XP_012549186.1
BGIBMGA013663	XP_012546468.1
BGIBMGA003533	XP_012549219.1
BGIBMGA011040	XP_004921724.1
BGIBMGA005368	XP_012550909.1
BGIBMGA003824	XP_004926473.1
BGIBMGA013340	NP_001266320.1
BGIBMGA008577	XP_012546827.1
BGIBMGA013086	XP_004929005.1
BGIBMGA010816	XP_012551705.1
BGIBMGA008079	XP_012552718.1
BGIBMGA009852	XP_004923657.1
BGIBMGA013188	XP_004922782.1
BGIBMGA008691	XP_012545499.1
BGIBMGA000745	XP_012548936.1
BGIBMGA004614	XP_012546487.1
BGIBMGA002344	XP_004922109.1
BGIBMGA003263	XP_012544861.1
BGIBMGA007470	NP_001189467.1
BGIBMGA010336	XP_004926541.1
BGIBMGA006210	XP_004929282.2
BGIBMGA008513	XP_004928296.1
BGIBMGA014030	XP_004927262.1
BGIBMGA009261	XP_012551240.1
BGIBMGA014238	XP_004925382.1
BGIBMGA009038	XP_012550684.1
BGIBMGA008249	XP_004925946.1
BGIBMGA002459	XP_004931116.1
BGIBMGA003441	XP_012552867.1
BGIBMGA010848	XP_012547900.1
BGIBMGA011844	NP_001037171.1
BGIBMGA010740	XP_012551685.1
BGIBMGA001358	XP_004926765.1
BGIBMGA000102	XP_012552924.1
BGIBMGA011186	XP_004930783.1
BGIBMGA009021	XP_004931799.1
BGIBMGA006298	XP_012553279.1
BGIBMGA005672	XP_012546264.1
BGIBMGA008461	XP_004928219.1
BGIBMGA007731	XP_012547938.1
BGIBMGA012228	XP_004933230.1
BGIBMGA004739	XP_012544065.1
BGIBMGA001002	NP_001098696.1
BGIBMGA003681	XP_012549105.1
BGIBMGA007882	XP_012547824.1
BGIBMGA011336	NP_001191248.1
BGIBMGA003712	XP_004930175.1
BGIBMGA010240	NP_001166833.1
BGIBMGA006995	NP_001093305.1
BGIBMGA012351	XP_004933182.1
BGIBMGA010193	XP_004931273.1
BGIBMGA011108	XP_004926004.1
BGIBMGA002865	XP_004921571.1
BGIBMGA009663	XP_004933367.2
BGIBMGA004766	XP_004924081.1
BGIBMGA013636	XP_004925269.1
BGIBMGA004905	NP_001037275.1
BGIBMGA007595	XP_004924712.2
BGIBMGA008280	XP_012545636.1
BGIBMGA006637	XP_012549405.1
BGIBMGA010800	XP_004933022.1
BGIBMGA000011	XP_004926116.1
BGIBMGA002967	NP_001040132.1
BGIBMGA006292	XP_012553271.1
BGIBMGA009533	XP_012546787.1
BGIBMGA000998	XP_012547192.1
BGIBMGA004381	XP_004922571.1
BGIBMGA008859	XP_004931806.1
BGIBMGA009003	XP_012550563.1
BGIBMGA004688	XP_004926522.1
BGIBMGA006831	XP_012544676.1
BGIBMGA004000	NP_001040191.1
BGIBMGA007410	NP_001037293.1
BGIBMGA005352	XP_004932131.1
BGIBMGA013538	XP_012545883.1
BGIBMGA014594	XP_004933875.2
BGIBMGA008573	XP_012547503.1
BGIBMGA007530	XP_004924638.1
BGIBMGA007926	XP_012547979.1
BGIBMGA001903	XP_004933398.1
BGIBMGA003176	XP_004930972.1
BGIBMGA002745	NP_001103810.2
BGIBMGA014047	XP_012545690.1
BGIBMGA007778	XP_012547763.1
BGIBMGA006392	NP_001037319.1
BGIBMGA012203	XP_004925129.1
BGIBMGA005807	XP_012543876.1
BGIBMGA002729	XP_012551102.1
BGIBMGA011089	NP_001188365.1
BGIBMGA005042	NP_001040259.1
BGIBMGA014101	XP_004925185.1
BGIBMGA010819	NP_001040363.1
BGIBMGA006085	XP_004929125.1
BGIBMGA008686	XP_012545534.1
BGIBMGA003228	XP_012544849.1
BGIBMGA000087	XP_004923137.1
BGIBMGA013197	XP_012552353.1
BGIBMGA006310	XP_012553277.1
BGIBMGA003882	XP_004924928.1
BGIBMGA003460	XP_004930326.1
BGIBMGA007488	XP_012545916.1
BGIBMGA011243	XP_004930744.1
BGIBMGA013171	XP_012552336.1
BGIBMGA006013	XP_004929189.1
BGIBMGA010639	XP_004925523.1
BGIBMGA001994	XP_012551494.1
BGIBMGA013207	XP_012551206.1
BGIBMGA009100	XP_012544311.1
BGIBMGA005447	XP_012550857.1
BGIBMGA008317	XP_012547626.1
BGIBMGA003395	XP_004923000.1
BGIBMGA011441	XP_012551320.1
BGIBMGA012956	XP_012548219.1
BGIBMGA005996	XP_012548451.1
BGIBMGA013813	XP_004924359.1
BGIBMGA000995	XP_012547403.1
BGIBMGA005364	XP_012550872.1
BGIBMGA008410	XP_012547462.1
BGIBMGA000981	XP_012547423.1
BGIBMGA004711	XP_004926521.1
BGIBMGA003782	XP_012545540.1
BGIBMGA002404	XP_012550164.1
BGIBMGA012822	XP_012548257.1
BGIBMGA014476	XP_012552215.1
BGIBMGA013942	XP_004933581.1
BGIBMGA001423	XP_012548810.1
BGIBMGA005089	XP_004921786.1
BGIBMGA006746	XP_012549509.1
BGIBMGA013215	XP_012552277.1
BGIBMGA007633	XP_012547828.1
BGIBMGA011362	XP_004930740.1
BGIBMGA014022	XP_004933632.1
BGIBMGA006288	XP_012553311.1
BGIBMGA000577	XP_012548956.1
BGIBMGA007993	XP_012552719.1
BGIBMGA011901	NP_001166287.1
BGIBMGA007872	XP_012547998.1
BGIBMGA011415	XP_004930866.1
BGIBMGA013834	NP_001243963.1
BGIBMGA005378	XP_004932092.1
BGIBMGA003046	XP_004931049.1
BGIBMGA009817	NP_001036940.1
BGIBMGA004206	XP_012544197.1
BGIBMGA002575	XP_004932401.1
BGIBMGA010251	XP_012550297.1
BGIBMGA002990	XP_004930969.1
BGIBMGA011529	XP_004932734.1
BGIBMGA002732	XP_012551136.1
BGIBMGA010564	XP_012548569.1
BGIBMGA009808	XP_012551924.1
BGIBMGA004681	NP_001036886.1
BGIBMGA011289	XP_004930803.1
BGIBMGA003495	XP_004930158.1
BGIBMGA013511	NP_001040398.1
BGIBMGA001331	XP_012552219.1
BGIBMGA001531	NP_001127719.1
BGIBMGA002955	XP_012549927.1
BGIBMGA013178	XP_012552500.1
BGIBMGA009486	XP_004922813.1
BGIBMGA002897	XP_012552807.1
BGIBMGA009383	XP_012543816.1
BGIBMGA004627	XP_012546500.1
BGIBMGA012145	XP_004925125.1
BGIBMGA009560	XP_004927346.1
BGIBMGA007211	XP_004925096.1
BGIBMGA010236	XP_004931334.1
BGIBMGA006792	XP_012549528.1
BGIBMGA006479	XP_012549581.1
BGIBMGA012726	XP_012545618.1
BGIBMGA008729	XP_012545515.1
BGIBMGA001904	XP_012552038.1
BGIBMGA001886	XP_012552000.1
BGIBMGA013080	XP_012548210.1
BGIBMGA010868	NP_001037456.2
BGIBMGA000799	XP_012545431.1
BGIBMGA004131	XP_012550281.1
BGIBMGA003785	XP_004925822.1
BGIBMGA001476	XP_004929738.1
BGIBMGA010734	XP_012551647.1
BGIBMGA009352	NP_001140186.1
BGIBMGA005198	XP_012546354.1
BGIBMGA010516	XP_004929546.1
BGIBMGA006167	XP_004929363.1
BGIBMGA012375	XP_012545059.1
BGIBMGA013590	XP_004925262.1
BGIBMGA006780	XP_012549489.1
BGIBMGA008625	XP_012546603.1
BGIBMGA007712	NP_001040368.1
BGIBMGA006810	XP_012544661.1
BGIBMGA008330	XP_012547602.1
BGIBMGA003075	XP_004930871.2
BGIBMGA013956	XP_012552133.1
BGIBMGA001929	XP_004933409.1
BGIBMGA000145	XP_012552932.1
BGIBMGA008055	XP_012552762.1
BGIBMGA003283	XP_004925007.1
BGIBMGA014224	NP_001269272.1
BGIBMGA005688	XP_012546048.1
BGIBMGA014071	XP_004927701.1
BGIBMGA012153	NP_001091812.1
BGIBMGA004771	XP_012544054.1
BGIBMGA013752	XP_004923459.1
BGIBMGA002777	XP_004921640.1
BGIBMGA013271	XP_004922761.1
BGIBMGA000655	XP_012549056.1
BGIBMGA004330	XP_012545169.1
BGIBMGA009292	XP_012551264.1
BGIBMGA010485	XP_004929405.1
BGIBMGA009220	XP_004922672.1
BGIBMGA008274	XP_004925966.1
BGIBMGA001313	XP_012546657.1
BGIBMGA010636	XP_004925578.1
BGIBMGA005703	XP_004927206.1
BGIBMGA002832	XP_012552956.1
BGIBMGA008517	XP_012547651.1
BGIBMGA004655	NP_001037478.1
BGIBMGA011860	XP_004931596.1
BGIBMGA006681	XP_004930344.1
BGIBMGA002401	XP_004931181.1
BGIBMGA009031	XP_012550883.1
BGIBMGA000836	XP_012552235.1
BGIBMGA012226	XP_004933191.1
BGIBMGA000591	XP_012548874.1
BGIBMGA000701	NP_001036912.1
BGIBMGA008554	XP_004928342.1
BGIBMGA002091	XP_012551505.1
BGIBMGA004953	XP_004924491.1
BGIBMGA003405	XP_004923011.1
BGIBMGA001070	XP_004927739.1
BGIBMGA003178	XP_004930975.1
BGIBMGA008614	XP_004927112.2
BGIBMGA012406	XP_012546965.1
BGIBMGA004192	XP_012544180.1
BGIBMGA007255	NP_001266377.1
BGIBMGA005208	XP_012545059.1
BGIBMGA005541	XP_004922002.1
BGIBMGA009948	XP_012552195.1
BGIBMGA004405	XP_012550730.1
BGIBMGA003339	XP_012552797.1
BGIBMGA003468	XP_004930200.1
BGIBMGA003961	XP_004926427.2
BGIBMGA001041	XP_004927763.1
BGIBMGA010653	XP_012545314.1
BGIBMGA006863	NP_001040380.1
BGIBMGA014405	XP_012546984.1
BGIBMGA012730	NP_001127709.1
BGIBMGA001231	XP_012547392.1
BGIBMGA014580	XP_004934168.1
BGIBMGA013902	XP_004933560.1
BGIBMGA012101	XP_012551579.1
BGIBMGA000182	XP_012552405.1
BGIBMGA007428	XP_004923970.1
BGIBMGA006421	XP_012549575.1
BGIBMGA006209	NP_001037632.1
BGIBMGA007623	XP_012547775.1
BGIBMGA009167	XP_012545699.1
BGIBMGA013184	XP_012552054.1
BGIBMGA014347	XP_012544816.1
BGIBMGA012402	XP_012546963.1
BGIBMGA008793	XP_012544792.1
BGIBMGA009793	XP_012551896.1
BGIBMGA004426	XP_004922519.1
BGIBMGA000105	XP_012552885.1
BGIBMGA008537	XP_004928435.1
BGIBMGA001725	XP_004922163.1
BGIBMGA007203	XP_012544902.1
BGIBMGA008655	XP_012546571.1
BGIBMGA011417	XP_012549865.1
BGIBMGA008219	XP_012546376.1
BGIBMGA004051	XP_004922373.2
BGIBMGA009501	XP_012552605.1
BGIBMGA002094	XP_004925417.1
BGIBMGA003530	XP_012549131.1
BGIBMGA010215	XP_004931297.1
BGIBMGA006311	XP_004923544.1
BGIBMGA012781	XP_012548142.1
BGIBMGA004347	XP_004933640.1
BGIBMGA008872	XP_012550621.1
BGIBMGA006067	NP_001182391.1
BGIBMGA001369	XP_004926774.1
BGIBMGA000407	XP_004931931.1
BGIBMGA002377	XP_004931265.1
BGIBMGA007839	XP_012547734.1
BGIBMGA014085	XP_004933750.2
BGIBMGA002231	XP_004922107.1
BGIBMGA014196	NP_001040461.1
BGIBMGA000798	XP_012545458.1
BGIBMGA008319	XP_012547685.1
BGIBMGA007966	XP_004928698.1
BGIBMGA007529	XP_004924640.1
BGIBMGA011432	XP_004932705.1
BGIBMGA002446	XP_004931101.1
BGIBMGA009039	NP_001127712.1
BGIBMGA010803	XP_012551683.1
BGIBMGA011271	XP_004930716.1
BGIBMGA005512	XP_004932305.1
BGIBMGA005922	XP_004929306.1
BGIBMGA004697	XP_012546115.1
BGIBMGA008268	XP_004925960.1
BGIBMGA007170	XP_004925056.1
BGIBMGA010432	XP_012548541.1
BGIBMGA010400	NP_001040159.1
BGIBMGA007974	XP_004928824.2
BGIBMGA000988	NP_001166866.1
BGIBMGA004901	XP_004924571.1
BGIBMGA013108	NP_001037078.1
BGIBMGA010077	XP_012553045.1
BGIBMGA000232	NP_001103794.1
BGIBMGA003057	NP_001182391.1
BGIBMGA008665	XP_004925813.1
BGIBMGA002845	XP_012546974.1
BGIBMGA014502	XP_004933720.2
BGIBMGA005604	XP_012546393.1
BGIBMGA001541	XP_004929662.1
BGIBMGA007245	XP_012546547.1
BGIBMGA005592	NP_001037656.1
BGIBMGA004114	XP_012549615.1
BGIBMGA003730	XP_004930208.1
BGIBMGA012084	XP_012551585.1
BGIBMGA012195	XP_012544978.1
BGIBMGA010946	XP_012544625.1
BGIBMGA002574	XP_012551155.1
BGIBMGA007501	XP_012544551.1
BGIBMGA007859	XP_012545214.1
BGIBMGA001084	NP_001036845.1
BGIBMGA014376	XP_012546801.1
BGIBMGA008287	NP_001139414.1
BGIBMGA011837	XP_004931665.1
BGIBMGA012900	NP_001104820.1
BGIBMGA006491	XP_004930580.1
BGIBMGA000927	XP_012547426.1
BGIBMGA012532	XP_004925219.1
BGIBMGA005336	XP_012550911.1
BGIBMGA005159	NP_001091775.1
BGIBMGA012180	XP_004925104.1
BGIBMGA005348	XP_012550987.1
BGIBMGA011747	XP_004931440.1
BGIBMGA013122	XP_012546425.1
BGIBMGA012745	XP_004933838.2
BGIBMGA003905	XP_012546252.1
BGIBMGA004390	XP_012550855.1
BGIBMGA008022	XP_012552744.1
BGIBMGA006482	XP_012549582.1
BGIBMGA010344	XP_004926571.1
BGIBMGA009315	XP_012543830.1
BGIBMGA008707	XP_004925775.1
BGIBMGA008648	XP_012546572.1
BGIBMGA011919	XP_004924178.1
BGIBMGA012078	XP_012551549.1
BGIBMGA002521	XP_012550101.1
BGIBMGA005880	XP_012544574.1
BGIBMGA012102	XP_004932921.1
BGIBMGA011275	XP_004930712.1
BGIBMGA009509	XP_012549781.1
BGIBMGA007802	XP_004928511.1
BGIBMGA009250	XP_012551443.1
BGIBMGA002659	XP_012551182.1
BGIBMGA003174	XP_004930966.1
BGIBMGA001782	XP_012552419.1
BGIBMGA007906	XP_012547795.1
BGIBMGA007389	XP_012543927.1
BGIBMGA007043	XP_004932474.1
BGIBMGA012649	XP_012546504.1
BGIBMGA014116	NP_001093291.1
BGIBMGA004608	XP_004923511.1
BGIBMGA003962	XP_004926416.1
BGIBMGA014342	XP_004921529.2
BGIBMGA006088	XP_012548509.1
BGIBMGA002570	XP_004932409.1
BGIBMGA002855	XP_012552838.1
BGIBMGA001538	NP_001182006.1
BGIBMGA012667	XP_004924806.1
BGIBMGA010724	XP_004933051.1
BGIBMGA011728	NP_001166765.1
BGIBMGA011982	XP_012544124.1
BGIBMGA012920	XP_012548105.1
BGIBMGA011936	NP_001093279.1
BGIBMGA001416	XP_012548781.1
BGIBMGA001014	XP_004927792.1
BGIBMGA007664	XP_004928645.1
BGIBMGA013115	NP_001037534.1
BGIBMGA009672	XP_012551909.1
BGIBMGA002576	XP_012551187.1
BGIBMGA004679	XP_004927171.2
BGIBMGA000753	XP_004925739.1
BGIBMGA003902	XP_004934257.1
BGIBMGA007714	XP_012547889.1
BGIBMGA008876	XP_012550566.1
BGIBMGA001251	XP_004927930.1
BGIBMGA001887	XP_004933417.1
BGIBMGA001837	XP_004933472.1
BGIBMGA004058	XP_004922477.1
BGIBMGA013279	XP_012552165.1
BGIBMGA000808	XP_012545469.1
BGIBMGA005306	XP_004932302.1
BGIBMGA011352	XP_004930734.2
BGIBMGA002611	XP_004932357.1
BGIBMGA011711	XP_004931625.1
BGIBMGA009490	XP_012552689.1
BGIBMGA011334	XP_012549726.1
BGIBMGA013703	NP_001040447.1
BGIBMGA013426	XP_012553322.1
BGIBMGA011072	XP_004929353.1
BGIBMGA011233	XP_012549866.1
BGIBMGA007510	XP_012544540.1
BGIBMGA014118	XP_004925167.1
BGIBMGA000251	NP_001166645.1
BGIBMGA002442	NP_001127717.1
BGIBMGA012171	XP_012544954.1
BGIBMGA008255	NP_001036893.1
BGIBMGA003276	XP_004925541.1
BGIBMGA012397	XP_004925444.1
BGIBMGA000366	XP_012550813.1
BGIBMGA014367	XP_012546994.1
BGIBMGA002412	XP_012550182.1
BGIBMGA013506	XP_004926239.1
BGIBMGA009954	XP_012551328.1
BGIBMGA004536	XP_012545730.1
BGIBMGA008587	XP_012545325.1
BGIBMGA010116	XP_004931367.1
BGIBMGA001038	XP_012547247.1
BGIBMGA003205	XP_012550003.1
BGIBMGA003910	XP_012546241.1
BGIBMGA013568	NP_001129358.1
BGIBMGA012140	XP_004925133.1
BGIBMGA009784	XP_012551841.1
BGIBMGA004959	XP_012544402.1
BGIBMGA005574	XP_012545822.1
BGIBMGA012757	XP_012548137.1
BGIBMGA008660	XP_012545506.1
BGIBMGA011359	XP_012549830.1
BGIBMGA005168	XP_012544843.1
BGIBMGA013333	XP_012546686.1
BGIBMGA001165	XP_012547321.1
BGIBMGA005122	XP_004921800.1
BGIBMGA000185	XP_012547003.1
BGIBMGA012330	XP_012551733.1
BGIBMGA005588	XP_012545646.1
BGIBMGA007630	XP_004928815.1
BGIBMGA008776	XP_012546301.1
BGIBMGA012261	XP_012551760.1
BGIBMGA011328	XP_004930710.1
BGIBMGA012124	NP_001040299.1
BGIBMGA004377	NP_001040297.1
BGIBMGA011116	XP_004925993.1
BGIBMGA013806	XP_012546050.1
BGIBMGA012133	XP_012551612.1
BGIBMGA008251	XP_012545642.1
BGIBMGA000531	XP_012549087.1
BGIBMGA012885	XP_004928863.1
BGIBMGA000920	XP_012547186.1
BGIBMGA009636	XP_012551890.1
BGIBMGA010092	NP_001036870.1
BGIBMGA013268	XP_004922757.1
BGIBMGA013277	XP_004922802.1
BGIBMGA009159	XP_004926040.1
BGIBMGA000069	XP_004923163.1
BGIBMGA008071	XP_012552741.1
BGIBMGA012653	XP_004927006.1
BGIBMGA004231	NP_001106742.1
BGIBMGA000249	NP_001166643.1
BGIBMGA011908	XP_004924188.1
BGIBMGA014143	XP_012545813.1
BGIBMGA004150	XP_004924250.1
BGIBMGA010720	XP_004933058.1
BGIBMGA011851	XP_004931586.1
BGIBMGA002328	NP_001166895.1
BGIBMGA014031	XP_004927261.1
BGIBMGA000574	XP_012548963.1
BGIBMGA005344	XP_004932144.1
BGIBMGA000144	XP_012552948.1
BGIBMGA003235	XP_012544874.1
BGIBMGA008856	NP_001037051.1
BGIBMGA003321	XP_012552768.1
BGIBMGA011389	XP_012549806.1
BGIBMGA001931	XP_004933411.1
BGIBMGA003827	XP_004926498.2
BGIBMGA010741	XP_004933027.2
BGIBMGA005628	NP_001040160.1
BGIBMGA007295	XP_012545592.1
BGIBMGA012785	XP_004928987.1
